Column1,,Column2,,Column3,Column4,Column5
상품명,재질,색상,카테고리,품목코드,제품명,단가
1회로(TEL/LAN),메탈,알루미늄,기타류,UAE8UPOK6,인서트 1P TEL/LAN,36370
1회로(TEL/LAN),메탈,알루미늄,기타류,AL2969-1UA,커버 1P TEL/LAN,21390
2회로(TEL/LAN),메탈,알루미늄,기타류,UAE8-8UPOK6,인서트 2P TEL/LAN,48590
2회로(TEL/LAN),메탈,알루미늄,기타류,AL2969-2UA,커버 2P TEL/LAN,23530
1구,메탈,앤트라사이트,,AL2981AN,프레임 1구 앤트러사이트,23560
2구,메탈,앤트라사이트,,AL2982AN,프레임 2구 앤트러사이트,36370
3구,메탈,앤트라사이트,,AL2983AN,프레임 3구 앤트러사이트,60380
4구,메탈,앤트라사이트,,AL2984AN,프레임 4구 앤트러사이트,96600
5구,메탈,앤트라사이트,,AL2985AN,프레임 5구 앤트러사이트,153330
1회로(3로겸용),메탈,앤트라사이트,스위치류,506U,인서트 1회로 (단로/3로),11790
1회로(3로겸용),메탈,앤트라사이트,스위치류,AL2990AN,커버 1회로 스위치 앤트러사이트,17610
1회로(일괄소등),메탈,앤트라사이트,스위치류,506-20U,인서트 일괄소등 1회로 (단로/3로),26190
1회로(일괄소등),메탈,앤트라사이트,스위치류,AL2990AN,커버 1회로 스위치 앤트러사이트,17610
2회로(단로전용),메탈,앤트라사이트,스위치류,505U,인서트 2회로 (단로전용),18480
2회로(단로전용),메탈,앤트라사이트,스위치류,AL2995AN,커버 2회로 스위치 앤트러사이트,21970
2회로(3로겸용),메탈,앤트라사이트,스위치류,509U,인서트 2회로 (단로/3로),32880
2회로(3로겸용),메탈,앤트라사이트,스위치류,AL2995AN,커버 2회로 스위치 앤트러사이트,21970
3회로(3로겸용),메탈,앤트라사이트,스위치류,5306EU,인서트 단로 3회로 (3로겸용),42480
3회로(3로겸용),메탈,앤트라사이트,스위치류,AL993AN,커버 3회로 스위치 앤트러사이트,32880
로터리디밍,메탈,앤트라사이트,스위치류,1731DD,인서트 로터리디밍 (LED100W),193490
로터리디밍,메탈,앤트라사이트,스위치류,AL1740AN,커버 로터리디밍 앤트러사이트,50530
콘센트,메탈,앤트라사이트,콘센트류,AL1520KIAN,콘센트220V 앤트러사이트 (인서트커버),31860
방우콘센트,메탈,앤트라사이트,콘센트류,AL1520KIKLAN,콘센트220V 방우형 앤트러사이트 (인서트커버),40300
콘센트(USB-A),메탈,앤트라사이트,콘센트류,AL1520-18AAN,콘센트220V USB-A (인서트+커버),199470
콘센트(USB-C),메탈,앤트라사이트,콘센트류,AL1520-18CAN,콘센트220V USB-C (인서트+커버),199470
콘센트(USB-C/A),메탈,앤트라사이트,콘센트류,AL1520-15CAAN,콘센트220V USB-C/A (인서트+커버),199470
1회로(TEL/LAN),메탈,앤트라사이트,기타류,UAE8UPOK6,인서트 1P TEL/LAN,36370
1회로(TEL/LAN),메탈,앤트라사이트,기타류,AL2969-1UAAN,커버 1P TEL/LAN 앤트러사이트,21390
2회로(TEL/LAN),메탈,앤트라사이트,기타류,UAE8-8UPOK6,인서트 2P TEL/LAN,48590
2회로(TEL/LAN),메탈,앤트라사이트,기타류,AL2969-2UAAN,커버 2P TEL/LAN 앤트러사이트,23530
1구,메탈,다크,,AL2981D,프레임 1구,26340
2구,메탈,다크,,AL2982D,프레임 2구,40580
3구,메탈,다크,,AL2983D,프레임 3구,67640
4구,메탈,다크,,AL2984D,프레임 4구,107940
5구,메탈,다크,,AL2985D,프레임 5구,171220
1회로(3로겸용),메탈,다크,스위치류,506U,인서트 1회로 (단로/3로),11790
1회로(3로겸용),메탈,다크,스위치류,AL2990D,커버 1회로 스위치,19340
1회로(일괄소등),메탈,다크,스위치류,506-20U,인서트 일괄소등 1회로 (단로/3로),26190
1회로(일괄소등),메탈,다크,스위치류,AL2990D,커버 1회로 스위치,19340
2회로(단로전용),메탈,다크,스위치류,505U,인서트 2회로 (단로전용),18480
2회로(단로전용),메탈,다크,스위치류,AL2995D,커버 2회로 스위치,24440
2회로(3로겸용),메탈,다크,스위치류,509U,인서트 2회로 (단로/3로),32880
2회로(3로겸용),메탈,다크,스위치류,AL2995D,커버 2회로 스위치,24440
3회로(3로겸용),메탈,다크,스위치류,5306EU,인서트 단로 3회로 (3로겸용),42480
3회로(3로겸용),메탈,다크,스위치류,AL993D,커버 3회로 스위치,35790
로터리디밍,메탈,다크,스위치류,1731DD,인서트 로터리디밍 (LED100W),193490
로터리디밍,메탈,다크,스위치류,AL1740D,커버 로터리디밍,58490
콘센트,메탈,다크,콘센트류,AL1520KID,콘센트220V (인서트+커버),35350
방우콘센트,메탈,다크,콘센트류,AL1520KIKLD,콘센트220V 방우형 (인서트+커버),44950
콘센트(USB-A),메탈,다크,콘센트류,AL1520-18AD,콘센트220V USB-A (인서트+커버),203750
콘센트(USB-C),메탈,다크,콘센트류,AL1520-18CD,콘센트220V USB-C (인서트+커버),203750
콘센트(USB-C/A),메탈,다크,콘센트류,AL1520-15CAD,콘센트220V USB-C/A (인서트+커버),203750
1회로(TEL/LAN),메탈,다크,기타류,UAE8UPOK6,인서트 1P TEL/LAN,36370
1회로(TEL/LAN),메탈,다크,기타류,AL2969-1UAD,커버 1P TEL/LAN,23710
2회로(TEL/LAN),메탈,다크,기타류,UAE8-8UPOK6,인서트 2P TEL/LAN,48590
2회로(TEL/LAN),메탈,다크,기타류,AL2969-2UAD,커버 2P TEL/LAN,26080
1구,메탈,클래식브래스,,ME2981C,프레임 1구,46260
2구,메탈,클래식브래스,,ME2982C,프레임 2구,72010
3구,메탈,클래식브래스,,ME2983C,프레임 3구,120010
4구,메탈,클래식브래스,,ME2984C,프레임 4구,208170
5구,메탈,클래식브래스,,ME2985C,프레임 5구,342600
1회로(3로겸용),메탈,클래식브래스,스위치류,506U,인서트 1회로 (단로/3로),11790
1회로(3로겸용),메탈,클래식브래스,스위치류,ME2990C,커버 1회로 스위치,31280
1회로(일괄소등),메탈,클래식브래스,스위치류,506-20U,인서트 일괄소등 1회로 (단로/3로),26190
1회로(일괄소등),메탈,클래식브래스,스위치류,ME2990C,커버 1회로 스위치,31280
2회로(단로전용),메탈,클래식브래스,스위치류,505U,인서트 2회로 (단로전용),18480
2회로(단로전용),메탈,클래식브래스,스위치류,ME2995C,커버 2회로 스위치,35350
2회로(3로겸용),메탈,클래식브래스,스위치류,509U,인서트 2회로 (단로/3로),32880
2회로(3로겸용),메탈,클래식브래스,스위치류,ME2995C,커버 2회로 스위치,35350
3회로(3로겸용),메탈,클래식브래스,스위치류,5306EU,인서트 단로 3회로 (3로겸용),42480
3회로(3로겸용),메탈,클래식브래스,스위치류,ME993C,커버 3회로 스위치,47710
로터리디밍,메탈,클래식브래스,스위치류,1731DD,인서트 로터리디밍 (LED100W),193490
로터리디밍,메탈,클래식브래스,스위치류,ME1740C,커버 로터리디밍,68940
콘센트,메탈,클래식브래스,콘센트류,ME1520KIC,콘센트220V (인서트+커버),46260
